NonT/T          ENDFILE   ERROR     PROGRAM   PROCEDURE TYPE      VAR       IF        THEN      ELSE      FI        WHILE     DO        ENDWH     BEGIN     END       READ      WRITE     ARRAY     OF        RECORD    RETURN    INTEGER   CHAR      ID        INTC      CHARC     ASSIGN    EQ        LT        PLUS      MINUS     TIMES     OVER      LPAREN    RPAREN    DOT       COLON     SEMI      COMMA     LMIDPAREN RMIDPAREN 
Program        :X         X         0         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
ProgramHead    :X         X         1         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
ProgramName    :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         2         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
DeclarePart    :X         X         X         3         3         3         X         X         X         X         X         X         X         3         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
TypeDec        :X         X         X         4         5         4         X         X         X         X         X         X         X         4         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
TypeDeclaration:X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
TypeDecList    :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
TypeDecMore    :X         X         X         8         X         8         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
TypeId         :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         10        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
TypeName       :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         12        X         12        X         11        11        13        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
BaseType       :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         14        15        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
StructureType  :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         16        X         17        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
ArrayType      :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         18        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
Low            :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         19        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
Top            :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         20        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
RecType        :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         21        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
FieldDecList   :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         23        X         X         X         22        22        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
FieldDecMore   :X         X         X         X         X         X         X         X         X         X         X         X         X         X         24        X         X         25        X         X         X         25        25        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
IdList         :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         26        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
IdMore         :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         27        28        X         X         
VarDec         :X         X         X         29        X         30        X         X         X         X         X         X         X         29        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
VarDeclaration :X         X         X         X         X         31        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
VarDecList     :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         32        X         32        X         32        32        32        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
VarDecMore     :X         X         X         33        X         X         X         X         X         X         X         X         X         33        X         X         X         34        X         34        X         34        34        34        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
VarIdList      :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         35        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
VarIdMore      :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         36        37        X         X         
ProcDec        :X         X         X         39        X         X         X         X         X         X         X         X         X         38        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
ProcDeclaration:X         X         X         40        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
ProcDecMore    :X         X         X         42        X         X         X         X         X         X         X         X         X         41        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
ProcName       :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         43        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
ParamList      :X         X         X         X         X         45        X         X         X         X         X         X         X         X         X         X         X         45        X         45        X         45        45        45        X         X         X         X         X         X         X         X         X         X         44        X         X         X         X         X         X         
ParamDecList   :X         X         X         X         X         46        X         X         X         X         X         X         X         X         X         X         X         46        X         46        X         46        46        46        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
ParamMore      :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         47        X         X         48        X         X         X         
Param          :X         X         X         X         X         50        X         X         X         X         X         X         X         X         X         X         X         49        X         49        X         49        49        49        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
FormList       :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         51        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
FidMore        :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         52        X         X         52        53        X         X         
ProcDecPart    :X         X         X         54        54        54        X         X         X         X         X         X         X         54        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
ProcBody       :X         X         X         X         X         X         X         X         X         X         X         X         X         55        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
ProgramBody    :X         X         X         X         X         X         X         X         X         X         X         X         X         56        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
StmList        :X         X         X         X         X         X         57        X         X         X         57        X         X         X         X         57        57        X         X         X         57        X         X         57        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
StmMore        :X         X         X         X         X         X         X         X         58        58        X         X         58        X         58        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         59        X         X         X         
Stm            :X         X         X         X         X         X         60        X         X         X         61        X         X         X         X         62        63        X         X         X         64        X         X         65        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
AssCall        :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         66        X         X         X         X         X         X         67        X         66        X         X         X         66        X         
AssignmentRest :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         68        X         X         X         X         X         X         X         X         68        X         X         X         68        X         
ConditionalStm :X         X         X         X         X         X         69        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
LoopStm        :X         X         X         X         X         X         X         X         X         X         70        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
InputStm       :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         71        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
Invar          :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         72        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
OutputStm      :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         73        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
ReturnStm      :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         74        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
CallStmRest    :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         75        X         X         X         X         X         X         X         
ActParamList   :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         77        77        X         X         X         X         X         X         X         X         77        76        X         X         X         X         X         X         
ActParamMore   :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         78        X         X         X         79        X         X         
RelExp         :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         80        80        X         X         X         X         X         X         X         X         80        X         X         X         X         X         X         X         
OtherRelE      :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         81        81        X         X         X         X         X         X         X         X         X         X         X         X         
Exp            :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         82        82        X         X         X         X         X         X         X         X         82        X         X         X         X         X         X         X         
OtherTerm      :X         X         X         X         X         X         X         83        83        83        X         83        83        X         83        X         X         X         X         X         X         X         X         X         X         X         X         83        83        84        84        X         X         X         83        X         X         83        83        X         83        
Term           :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         85        85        X         X         X         X         X         X         X         X         85        X         X         X         X         X         X         X         
OtherFactor    :X         X         X         X         X         X         X         86        86        86        X         86        86        X         86        X         X         X         X         X         X         X         X         X         X         X         X         86        86        86        86        87        87        X         86        X         X         86        86        X         86        
Factor         :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         90        89        X         X         X         X         X         X         X         X         88        X         X         X         X         X         X         X         
Variable       :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         91        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
VariMore       :X         X         X         X         X         X         X         92        92        92        X         92        92        X         92        X         X         X         X         X         X         X         X         X         X         X         92        92        92        92        92        92        92        X         92        94        X         92        92        93        92        
FieldVar       :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         95        X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         
FieldVarMore   :X         X         X         X         X         X         X         96        96        96        X         96        96        X         96        X         X         X         X         X         X         X         X         X         X         X         96        96        96        96        96        96        96        X         96        X         X         96        96        97        96        
CmpOp          :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         99        98        X         X         X         X         X         X         X         X         X         X         X         X         
AddOp          :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         100       101       X         X         X         X         X         X         X         X         X         X         
MultOp         :X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         102       103       X         X         X         X         X         X         X         X         
